subject,low,mid,top,struct,BIC_hier,BIC_flat
1,0.735116662,1.0112948,0.997455783,psc,2690.476755,2609.237561
2,0.688620372,1.113353626,1.076627769,pcs,2456.664491,2424.095182
3,0.735578761,1.722638656,1.949744891,spc,2297.929695,2558.767083
4,0.507738708,1.215277456,1.796945888,scp,2146.195008,2371.88649
5,0.635388864,1.322427931,1.62523395,cps,2671.013179,2811.932832
6,0.851029653,1.012113008,1.255797604,csp,2240.880103,2168.378876
7,0.8118488,0.932534569,1.037140575,psc,1256.108835,1160.804661
8,0.483322567,0.520550668,1.136819413,pcs,1884.557765,1962.01526
10,0.392617223,0.659781698,1.322845285,scp,1853.895473,2032.519988
11,0.508409801,1.162798498,1.713136632,cps,1837.535079,1985.28226
12,0.560648862,1.357083714,1.38079117,csp,2256.623103,2299.06977
13,0.65817182,0.41766117,0.722267816,psc,1797.351654,1868.671448
14,0.612030919,0.624987642,0.894274089,pcs,2256.699977,2192.03159
17,0.692951432,1.223837439,1.230520397,cps,2501.036646,2528.732035
18,0.559416385,1.211882616,1.14805418,csp,2442.471051,2522.468377
19,1.144497621,0.864753199,1.283491101,psc,778.630126,748.4387839
20,0.825508883,1.287323184,1.509639656,pcs,2537.445602,2570.113258
21,0.539942127,1.503448787,0.895480542,spc,2978.179305,2969.704041
22,0.395772568,0.853854798,1.292090385,scp,1553.104885,1642.617714
23,0.7725628,0.783431755,1.093609957,cps,2540.485429,2500.122905
24,0.341289211,1.360072978,1.470152894,csp,2294.338509,2382.074057
25,0.7370592,0.666003652,0.99650604,psc,2429.219175,2441.950652
27,0.565335181,1.513037932,0.962463954,spc,2445.660795,2541.675822
28,0.699883628,0.695781742,1.189294239,scp,2678.929998,2652.741388
29,0.304026603,1.314821182,1.611211058,cps,1365.49949,1530.747997
30,0.714141913,0.870686805,1.556248418,cps,2408.984026,2442.133202
31,0.328481553,0.436706533,0.610831049,psc,1549.408085,1532.932964
32,0.710544986,1.558253974,1.795292284,pcs,1584.554715,1603.357941
33,0.612369601,0.959961906,1.33011444,spc,2462.245213,2493.321744
35,0.47201453,0.844314509,1.079595587,csp,2663.786598,2625.715967
36,0.567851897,1.138657737,1.473685651,csp,2770.166871,2818.756622
37,0.710790945,0.686046316,0.84470737,psc,2133.596183,2047.528372
38,0.916393021,0.71994266,1.050888258,pcs,1715.979351,1791.655204
39,0.421946361,1.463172415,1.794689346,spc,2371.687747,2628.286807
40,0.542114132,1.061039511,1.412192282,scp,1335.072811,1319.993868
41,0.388943565,0.36127663,0.945346728,cps,1330.23171,1273.952622